latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
14.13071,98.20261,329.24,0.39,0.36,2023-12-01,642,N,VIIRS,n,2,297.6,1.16,D,0
15.1663,99.96783,334.76,0.4,0.37,2023-12-01,642,N,VIIRS,n,2,296.93,2.02,D,0
15.6445,99.64262,335.57,0.4,0.37,2023-12-01,642,N,VIIRS,n,2,296.15,5.35,D,0
15.65992,99.57552,342.1,0.4,0.37,2023-12-01,642,N,VIIRS,n,2,294.76,4.01,D,0
15.7759,99.82755,330.8,0.4,0.37,2023-12-01,642,N,VIIRS,n,2,297.06,1.39,D,0
15.78341,98.51006,333.16,0.38,0.36,2023-12-01,642,N,VIIRS,n,2,297.58,2.3,D,0
15.89848,99.97425,331.75,0.41,0.37,2023-12-01,642,N,VIIRS,n,2,296.8,2.94,D,0
15.97175,99.9279,331.91,0.41,0.37,2023-12-01,642,N,VIIRS,n,2,299.03,2.2,D,0
16.01838,99.88652,337.28,0.4,0.37,2023-12-01,642,N,VIIRS,n,2,297.78,3.77,D,0
16.11525,94.58194,329.64,0.48,0.4,2023-12-01,642,N,VIIRS,n,2,296.4,3.93,D,0
16.14759,99.36681,337.28,0.39,0.37,2023-12-01,642,N,VIIRS,n,2,296.78,2.18,D,0
16.20139,97.54449,332.04,0.39,0.36,2023-12-01,642,N,VIIRS,n,2,299.32,2.19,D,0
16.20165,95.69157,337.77,0.43,0.38,2023-12-01,642,N,VIIRS,n,2,298.8,3.83,D,0
16.20513,95.69096,344.99,0.43,0.38,2023-12-01,642,N,VIIRS,n,2,299.08,20.66,D,0
16.21946,95.71306,338.41,0.43,0.38,2023-12-01,642,N,VIIRS,n,2,297.65,4.77,D,0
16.22391,95.49417,337.18,0.44,0.38,2023-12-01,642,N,VIIRS,n,2,295.94,3.73,D,0
16.34879,95.75278,339.71,0.43,0.38,2023-12-01,642,N,VIIRS,n,2,296.52,7.44,D,0
16.40946,95.34894,333.75,0.44,0.38,2023-12-01,642,N,VIIRS,n,2,296.18,3.23,D,0
16.50456,95.48714,337.36,0.43,0.38,2023-12-01,642,N,VIIRS,n,2,296.66,7.0,D,0
16.50869,95.8186,335.84,0.42,0.38,2023-12-01,642,N,VIIRS,n,2,297.87,4.47,D,0
16.53996,97.54995,335.52,0.39,0.36,2023-12-01,642,N,VIIRS,n,2,299.68,3.02,D,0
16.5408,99.69379,336.27,0.4,0.37,2023-12-01,642,N,VIIRS,n,2,296.42,4.2,D,0
16.54123,96.54162,336.24,0.4,0.37,2023-12-01,642,N,VIIRS,n,2,299.4,5.24,D,0
16.54321,96.44481,338.15,0.4,0.37,2023-12-01,642,N,VIIRS,n,2,299.51,3.56,D,0
16.54373,99.59339,333.3,0.4,0.37,2023-12-01,642,N,VIIRS,n,2,296.12,3.19,D,0
16.54721,98.21864,333.93,0.38,0.36,2023-12-01,642,N,VIIRS,n,2,298.46,1.58,D,0
16.54898,96.52489,330.28,0.4,0.37,2023-12-01,642,N,VIIRS,n,2,297.71,2.2,D,0
16.55191,99.72296,339.65,0.4,0.37,2023-12-01,642,N,VIIRS,n,2,295.88,2.35,D,0
16.55195,95.77862,334.9,0.42,0.38,2023-12-01,642,N,VIIRS,n,2,298.0,5.32,D,0
16.55504,95.75372,347.59,0.42,0.38,2023-12-01,642,N,VIIRS,n,2,298.73,5.9,D,0
16.5585,95.75311,340.46,0.42,0.38,2023-12-01,642,N,VIIRS,n,2,297.17,5.9,D,0
16.55877,95.73272,332.58,0.42,0.38,2023-12-01,642,N,VIIRS,n,2,295.82,3.39,D,0
16.56252,96.45697,335.37,0.4,0.37,2023-12-01,642,N,VIIRS,n,2,298.93,2.23,D,0
16.56669,96.48329,335.57,0.4,0.37,2023-12-01,642,N,VIIRS,n,2,298.81,2.32,D,0
16.56687,99.58597,332.2,0.4,0.37,2023-12-01,642,N,VIIRS,n,2,295.93,2.64,D,0
16.56729,96.48705,333.72,0.4,0.37,2023-12-01,642,N,VIIRS,n,2,299.02,2.43,D,0
16.56741,99.58972,330.05,0.4,0.37,2023-12-01,642,N,VIIRS,n,2,295.68,2.64,D,0
16.57007,96.48271,331.28,0.4,0.37,2023-12-01,642,N,VIIRS,n,2,298.49,3.81,D,0
16.57067,96.48647,333.79,0.4,0.37,2023-12-01,642,N,VIIRS,n,2,298.36,3.65,D,0
16.58076,95.01145,336.29,0.45,0.39,2023-12-01,642,N,VIIRS,n,2,298.1,7.31,D,0
16.58139,96.35285,332.25,0.41,0.37,2023-12-01,642,N,VIIRS,n,2,298.6,2.52,D,0
16.58968,96.49084,341.77,0.4,0.37,2023-12-01,642,N,VIIRS,n,2,299.45,3.0,D,0
16.59125,95.79213,335.09,0.42,0.38,2023-12-01,642,N,VIIRS,n,2,297.08,2.69,D,0
16.61334,99.7638,339.67,0.4,0.37,2023-12-01,642,N,VIIRS,n,2,296.29,3.66,D,0
